Reference,DOI,Species,Site,Season,Depth,Environment,Tissue,Condition,Mesh,Days,Remaining.mean,Remaining.sd,Remaining.sem,Rate.mean,Rate.sd,Repetitions,n,CN.mean,CN.sd,Phenols.mean,Phenols.sd,CNPhenols.t,CNPhenols.n,Source
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Autumn,20,Benthic,Lamina,Fresh,1,13.042942,81.544758,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Autumn,20,Benthic,Lamina,Fresh,1,22.04223,55.002163,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Autumn,20,Benthic,Lamina,Fresh,1,27.365503,63.174255,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Autumn,20,Benthic,Lamina,Fresh,1,33.66618,31.872986,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Autumn,20,Benthic,Lamina,Fresh,1,46.98645,22.91259,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Autumn,20,Benthic,Lamina,Fresh,1,60.291786,17.274895,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Autumn,20,Benthic,Lamina,Fresh,50,13.2285385,93.6499453,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Autumn,20,Benthic,Lamina,Fresh,50,21.385532,76.518158,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Autumn,20,Benthic,Lamina,Fresh,50,26.388456,84.767956,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Autumn,20,Benthic,Lamina,Fresh,50,33.44325,81.476194,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Autumn,20,Benthic,Lamina,Fresh,50,47.054714,78.925272,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Autumn,20,Benthic,Lamina,Fresh,50,60.108322,58.096672,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Winter,20,Benthic,Lamina,Fresh,1,8.840487,90.911553,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Winter,20,Benthic,Lamina,Fresh,1,43.75193,90.796696,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Winter,20,Benthic,Lamina,Fresh,1,43.5462,81.200562,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Winter,20,Benthic,Lamina,Fresh,1,63.679142,49.15465,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Winter,20,Benthic,Lamina,Fresh,1,77.058266,47.139984,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Winter,20,Benthic,Lamina,Fresh,1,96.95898,35.15639,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Winter,20,Benthic,Lamina,Fresh,50,8.900895,96.3835294,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Winter,20,Benthic,Lamina,Fresh,50,43.57669,94.9990263,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Winter,20,Benthic,Lamina,Fresh,50,43.60205,87.941335,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Winter,20,Benthic,Lamina,Fresh,50,63.814777,78.258562,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Winter,20,Benthic,Lamina,Fresh,50,77.57431,81.796297,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Winter,20,Benthic,Lamina,Fresh,50,99.084114,45.393692,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Spring,20,Benthic,Lamina,Fresh,1,23.795633,71.63157,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Spring,20,Benthic,Lamina,Fresh,1,38.73391,49.871727,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Spring,20,Benthic,Lamina,Fresh,1,49.59659,23.284805,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Spring,20,Benthic,Lamina,Fresh,1,58.64574,8.72667,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Spring,20,Benthic,Lamina,Fresh,1,77.99773,7.914154,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Spring,20,Benthic,Lamina,Fresh,50,23.708187,73.454721,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Spring,20,Benthic,Lamina,Fresh,50,38.519485,63.583256,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Spring,20,Benthic,Lamina,Fresh,50,49.74842,66.391273,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Spring,20,Benthic,Lamina,Fresh,50,58.65906,46.21651,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Spring,20,Benthic,Lamina,Fresh,50,77.48544,36.139248,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Spring,20,Benthic,Lamina,Fresh,50,87.481674,25.741615,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Summer,20,Benthic,Lamina,Fresh,1,20.222197,91.22736,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Summer,20,Benthic,Lamina,Fresh,1,34.531467,93.0268626,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Summer,20,Benthic,Lamina,Fresh,1,47.078583,72.542313,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Summer,20,Benthic,Lamina,Fresh,1,58.631886,38.90667,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Summer,20,Benthic,Lamina,Fresh,1,82.39672,8.74372,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Summer,20,Benthic,Lamina,Fresh,1,83.59337,11.231094,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Summer,20,Benthic,Lamina,Fresh,50,20.90242,81.879974,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Summer,20,Benthic,Lamina,Fresh,50,34.49021,62.640545,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Summer,20,Benthic,Lamina,Fresh,50,47.9188,63.414577,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Summer,20,Benthic,Lamina,Fresh,50,58.160316,15.67724,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Summer,20,Benthic,Lamina,Fresh,50,83.30062,24.30497,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Bedford and Moore 1984,10.1016/0272-7714(84)90009-X,Saccharina latissima,Wishing Well,Summer,20,Benthic,Lamina,Fresh,50,84.00959,7.653305,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 3
Rieper-Kirchner 1989,10.1515/botm.1989.32.3.241,Laminaria digitata,Helgoland,Spring,6,Benthic,Lamina,Dead,0.18,16,33,NA,NA,NA,NA,1,4,9.321673,NA,NA,NA,Final,4,"Table 3, Figure 5"
Rieper-Kirchner 1989,10.1515/botm.1989.32.3.241,Laminaria digitata,Helgoland,Spring,6,Benthic,Lamina,Dead,0.18,43,3.5,NA,NA,NA,NA,1,4,7.008365,NA,NA,NA,Final,4,"Table 3, Figure 5"
Rieper-Kirchner 1989,10.1515/botm.1989.32.3.241,Laminaria digitata,Helgoland,Summer,6,Benthic,Lamina,Dead,0.18,11,10.5,NA,NA,NA,NA,1,4,9.622813,NA,NA,NA,Final,4,"Table 3, Figure 5"
Rieper-Kirchner 1989,10.1515/botm.1989.32.3.241,Laminaria digitata,Helgoland,Summer,6,Benthic,Lamina,Dead,0.18,21,2.4,NA,NA,NA,NA,1,4,7.638023,NA,NA,NA,Final,4,"Table 3, Figure 5"
Harrold et al. 1998,10.4319/lo.1998.43.4.0669,Macrocystis pyrifera,Carmel Submarine Canyon,Winter,300,Benthic,Lamina,Fresh,NA,40,0.4,NA,0.2,2.49,NA,1,NA,NA,NA,NA,NA,NA,NA,Text
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,0.512992932,95.13729658,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,0.783807382,90.6777358,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,3.264881659,49.51967761,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,3.532422704,78.35298792,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,4.644973381,137.6890594,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,5.710541497,26.17965656,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,7.315456916,145.4078716,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,7.622299217,86.62004013,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,9.788105953,142.6230675,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,11.97792545,134.8183141,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,13.58570631,44.6753288,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,13.85909313,89.56284561,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,15.22130491,24.65084156,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,15.50506789,36.97671127,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,20.15124745,223.6144769,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,21.47146355,27.70087873,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,23.38209895,52.55710143,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,23.68415351,37.26295883,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,27.73108233,186.749423,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,29.70173848,73.58275282,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,31.01081284,22.11129039,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,32.09376312,107.4327275,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,34.03487196,1.858150324,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,38.63903523,116.733455,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,42.19299279,100.0072511,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,48.24086941,55.37287965,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,55.92543398,50.54168881,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,59.22937929,81.51962917,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,62.79572405,40.04281989,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,63.5958575,19.00355217,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,69.08926186,14.06209856,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,71.02817546,80.06921152,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Hobday 2000,10.1016/S0022-0981(00)00250-1,Macrocystis pyrifera,Southern California Bight,Summer,0,Pelagic,Sporophyte,Fresh,None,72.89130358,14.21814331,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2c
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,Coquimbo,Summer,0,Pelagic,Sporophyte,Fresh,None,5,NA,NA,NA,-0.7589679,1.1202014,3,10,NA,NA,NA,NA,NA,NA,Figure 3
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,Coquimbo,Summer,0,Pelagic,Sporophyte,Fresh,None,5,NA,NA,NA,-1.4260541,1.9351794,3,10,NA,NA,NA,NA,NA,NA,Figure 3
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,Coquimbo,Summer,0,Pelagic,Sporophyte,Fresh,None,10,NA,NA,NA,-0.6362492,1.6110762,3,10,NA,NA,NA,NA,NA,NA,Figure 3
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,Coquimbo,Summer,0,Pelagic,Sporophyte,Fresh,None,10,NA,NA,NA,1.7740717,2.3064823,3,10,NA,NA,NA,NA,NA,NA,Figure 3
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,Coquimbo,Summer,0,Pelagic,Sporophyte,Fresh,None,15,NA,NA,NA,-0.4159849,1.2555066,3,10,NA,NA,NA,NA,NA,NA,Figure 3
Rothäusler et al. 2011,10.4319/lo.2011.56.5.1751,Macrocystis pyrifera,Coquimbo,Summer,0,Pelagic,Sporophyte,Fresh,None,15,NA,NA,NA,1.0723726,1.8061674,3,10,NA,NA,NA,NA,NA,NA,Figure 3
Krumhansl and Scheibling 2012,10.3354/meps09671,Saccharina latissima,The Lodge,Autumn,19,Benthic,Sporophyte,Fresh,5,0,100,4.125734947,NA,NA,NA,1,3,102.90968,18.2685,NA,NA,Final,3,Figure 2
Krumhansl and Scheibling 2012,10.3354/meps09671,Saccharina latissima,The Lodge,Autumn,19,Benthic,Sporophyte,Fresh,5,28,83.7917448,3.536347922,NA,NA,NA,1,3,45.733116,12.947684,NA,NA,Final,3,Figure 2
Krumhansl and Scheibling 2012,10.3354/meps09671,Saccharina latissima,The Lodge,Autumn,19,Benthic,Sporophyte,Fresh,5,56,23.28094212,6.385067736,NA,NA,NA,1,3,46.377567,23.057443,NA,NA,Final,3,Figure 2
Krumhansl and Scheibling 2012,10.3354/meps09671,Saccharina latissima,The Lodge,Autumn,19,Benthic,Sporophyte,Fresh,5,84,9.430254848,11.29665998,NA,NA,NA,1,3,23.787216,4.522759,NA,NA,Final,3,Figure 2
Krumhansl and Scheibling 2012,10.3354/meps09671,Saccharina latissima,The Lodge,Autumn,19,Benthic,Sporophyte,Fresh,5,112,9.528487208,4.71512673,NA,NA,NA,1,3,26.737415,10.464531,NA,NA,Final,3,Figure 2
Graiff et al. 2013,10.1515/bot-2012-0193,Durvillaea antarctica,Coquimbo,Winter,0,Pelagic,Sporophyte,Fresh,None,NA,NA,NA,NA,2.297895716,0.330777251,1,19,NA,NA,NA,NA,NA,NA,Figure 5a
Graiff et al. 2013,10.1515/bot-2012-0193,Durvillaea antarctica,Coquimbo,Spring,0,Pelagic,Sporophyte,Fresh,None,NA,NA,NA,NA,2.100135652,0.628594491,1,20,NA,NA,NA,NA,NA,NA,Figure 5a
Graiff et al. 2013,10.1515/bot-2012-0193,Durvillaea antarctica,Coquimbo,Summer,0,Pelagic,Sporophyte,Fresh,None,NA,NA,NA,NA,3.548021839,0.995863182,1,24,NA,NA,NA,NA,NA,NA,Figure 5a
Graiff et al. 2013,10.1515/bot-2012-0193,Durvillaea antarctica,Coquimbo,Autumn,0,Pelagic,Sporophyte,Fresh,None,NA,NA,NA,NA,1.99419276,0.429825446,1,28,NA,NA,NA,NA,NA,NA,Figure 5a
Hamersley et al. 2015,10.1016/j.aquabot.2015.05.003,Macrocystis pyrifera,Catalina Island,Summer,0,Pelagic,Lamina,Fresh,1,3.387884008,96.60593069,NA,1.339764202,NA,NA,4,5,44.2,NA,NA,NA,Initial,NA,"Figure 1a, Table S1, Text"
Hamersley et al. 2015,10.1016/j.aquabot.2015.05.003,Macrocystis pyrifera,Catalina Island,Summer,0,Pelagic,Lamina,Fresh,1,9.399224806,74.7231154,NA,5.359056806,NA,NA,4,5,44.2,NA,NA,NA,Initial,NA,"Figure 1a, Table S1, Text"
Hamersley et al. 2015,10.1016/j.aquabot.2015.05.003,Macrocystis pyrifera,Catalina Island,Summer,0,Pelagic,Lamina,Fresh,1,17.3844387,24.25866381,NA,4.019292605,NA,NA,4,5,44.2,NA,NA,NA,Initial,NA,"Figure 1a, Table S1, Text"
Hamersley et al. 2015,10.1016/j.aquabot.2015.05.003,Macrocystis pyrifera,Catalina Island,Summer,0,Pelagic,Lamina,Fresh,1,24.38271605,14.43372633,NA,1.786352269,NA,NA,4,5,44.2,NA,NA,NA,Initial,NA,"Figure 1a, Table S1, Text"
Hamersley et al. 2015,10.1016/j.aquabot.2015.05.003,Macrocystis pyrifera,Catalina Island,Summer,0,Pelagic,Lamina,Senescent,1,3.387884008,83.20828867,NA,3.12611647,NA,NA,4,5,44.2,NA,NA,NA,Initial,NA,"Figure 1a, Table S1, Text"
Hamersley et al. 2015,10.1016/j.aquabot.2015.05.003,Macrocystis pyrifera,Catalina Island,Summer,0,Pelagic,Lamina,Senescent,1,9.399224806,53.28688817,NA,2.232940336,NA,NA,4,5,44.2,NA,NA,NA,Initial,NA,"Figure 1a, Table S1, Text"
Hamersley et al. 2015,10.1016/j.aquabot.2015.05.003,Macrocystis pyrifera,Catalina Island,Summer,0,Pelagic,Lamina,Senescent,1,17.3844387,22.91889961,NA,2.679528403,NA,NA,4,5,44.2,NA,NA,NA,Initial,NA,"Figure 1a, Table S1, Text"
Hamersley et al. 2015,10.1016/j.aquabot.2015.05.003,Macrocystis pyrifera,Catalina Island,Summer,0,Pelagic,Lamina,Senescent,1,24.38271605,10.63772776,NA,3.349410504,NA,NA,4,5,44.2,NA,NA,NA,Initial,NA,"Figure 1a, Table S1, Text"
Hamersley et al. 2015,10.1016/j.aquabot.2015.05.003,Macrocystis pyrifera,Catalina Island,Summer,0,Pelagic,Lamina,Detached,1,3.387884008,73.82993926,NA,1.786352269,NA,NA,4,5,44.2,NA,NA,NA,Initial,NA,"Figure 1a, Table S1, Text"
Hamersley et al. 2015,10.1016/j.aquabot.2015.05.003,Macrocystis pyrifera,Catalina Island,Summer,0,Pelagic,Lamina,Detached,1,9.399224806,32.29724902,NA,3.12611647,NA,NA,4,5,44.2,NA,NA,NA,Initial,NA,"Figure 1a, Table S1, Text"
Hamersley et al. 2015,10.1016/j.aquabot.2015.05.003,Macrocystis pyrifera,Catalina Island,Summer,0,Pelagic,Lamina,Detached,1,17.3844387,9.967845659,NA,3.12611647,NA,NA,4,5,44.2,NA,NA,NA,Initial,NA,"Figure 1a, Table S1, Text"
